N,PreN,PreNLength,NumGames,PctScore,DrawPct
7,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6 5.Nf3 Nbd7 6.Qc2 Bd6,54,1930,0.584715,0.435751
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 g6,33,1323,0.606198,0.462585
6,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 g6 5.Nf3 Bg7,43,1249,0.607686,0.467574
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 a6,34,1434,0.546722,0.442119
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 dxc4,36,2115,0.54208,0.404255
6,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 dxc4 5.a4 Bf5,45,1564,0.540601,0.42647
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 e6,34,2980,0.558053,0.412751
6,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 e6 5.e3 Nbd7,44,1093,0.547118,0.451967
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5 cxd5,37,1790,0.509776,0.764804
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5 cxd5 5.Nc3 Nc6,47,1659,0.511151,0.766726
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 a6,33,1575,0.563492,0.465396
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5,34,4859,0.532414,0.454002
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.Nc3 e6,43,3733,0.533217,0.435842
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.Nc3 e6 6.Nh4 Be4,53,1584,0.542929,0.393939
8,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.Nc3 e6 6.Nh4 Be4 7.f3 Bg6,62,1534,0.545958,0.393089
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.Nc3 e6 6.Nh4 Bg6,53,1463,0.531784,0.478468
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bg4,34,2315,0.554211,0.470842
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 e6,33,2820,0.604078,0.42234
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6,34,5106,0.570603,0.457696
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4,36,8985,0.56355,0.435726
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5,45,6552,0.567002,0.451159
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6,53,2746,0.551893,0.483976
8,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6 7.Bxc4 Bb4,64,2502,0.54976,0.480815
9,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6 7.Bxc4 Bb4 8.0-0 0-0,74,1217,0.554642,0.468364
9,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6 7.Bxc4 Bb4 8.0-0 Nbd7,75,1196,0.54724,0.492474
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7,56,2104,0.565826,0.410171
8,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7 7.Nxc4 Nb6,67,1031,0.549951,0.430649
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6,34,9823,0.563778,0.431436
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.Bg5 dxc4,45,1020,0.579411,0.35098
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.Bg5 h6,43,1984,0.550655,0.428931
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.Bg5 h6 6.Bxf6 Qxf6,55,1178,0.54202,0.501697
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.Bg5 Nbd7,45,1208,0.597682,0.432119
6,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7,44,3478,0.559948,0.455146
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7 6.Bd3 dxc4,55,1063,0.555503,0.428033
8,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5,65,1051,0.554234,0.429115
7,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7 6.Qc2 Bd6,54,1707,0.562097,0.476274
5,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Qc2 dxc4,36,1265,0.535968,0.398418
5,1.d4 d5 2.c4 dxc4 3.e3 Nf6 4.Bxc4 e6,36,2319,0.563389,0.473048
6,1.d4 d5 2.c4 dxc4 3.e3 Nf6 4.Bxc4 e6 5.Nf3 c5,45,1439,0.572967,0.489923
7,1.d4 d5 2.c4 dxc4 3.e3 Nf6 4.Bxc4 e6 5.Nf3 c5 6.0-0 a6,54,1060,0.573113,0.491509
5,1.d4 d5 2.c4 dxc4 3.e4 e5 4.Nf3 exd4,36,1161,0.570628,0.412575
5,1.d4 d5 2.c4 dxc4 3.e4 Nf6 4.e5 Nd5,35,1864,0.554989,0.508047
6,1.d4 d5 2.c4 dxc4 3.e4 Nf6 4.e5 Nd5 5.Bxc4 Nb6,46,1439,0.551772,0.521195
5,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6,35,4825,0.562176,0.497616
6,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 a6,45,1430,0.54965,0.453146
6,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5,45,3350,0.567611,0.516119
7,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.0-0 a6,54,2484,0.566425,0.527375
5,1.d4 d5 2.c4 e5 3.dxe5 d4 4.Nf3 Nc6,35,1221,0.568386,0.265356
5,1.d4 d5 2.c4 e6 3.Nc3 a6 4.cxd5 exd5,36,1478,0.543978,0.364005
5,1.d4 d5 2.c4 e6 3.Nc3 Be7 4.cxd5 exd5,37,2232,0.565636,0.424283
6,1.d4 d5 2.c4 e6 3.Nc3 Be7 4.cxd5 exd5 5.Bf4 c6,46,1382,0.561143,0.403039
5,1.d4 d5 2.c4 e6 3.Nc3 Be7 4.Nf3 Nf6,35,4136,0.558147,0.538926
6,1.d4 d5 2.c4 e6 3.Nc3 Be7 4.Nf3 Nf6 5.Bf4 0-0,45,1077,0.575673,0.49025
6,1.d4 d5 2.c4 e6 3.Nc3 Be7 4.Nf3 Nf6 5.Bg5 h6,44,1344,0.547619,0.587797
5,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5,36,2704,0.58321,0.425295
6,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6,46,2386,0.584241,0.430008
7,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6,55,1665,0.581681,0.439039
8,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7,65,1457,0.587508,0.446122
9,1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3 Nf6 7.Bg2 Be7 8.0-0 0-0,75,1408,0.589133,0.443892
5,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e3 Nf6,33,2381,0.510919,0.443931
6,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e3 Nf6 5.Nf3 Nbd7,44,2043,0.510523,0.442486
7,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e3 Nf6 5.Nf3 Nbd7 6.Qc2 Bd6,54,1005,0.50995,0.464676
5,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4,34,1174,0.556643,0.334752
6,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4 5.Nxe4 Bb4+,46,1100,0.553181,0.33
5,1.d4 d5 2.c4 e6 3.Nc3 c6 4.Nf3 Nf6,34,1215,0.520576,0.409053
5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7,35,2504,0.551317,0.545926
5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5,37,6524,0.581008,0.408185
6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 Be7,47,2589,0.601583,0.420625
7,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 Be7 6.e3 c6,55,1012,0.605237,0.427865
6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 c6,46,3034,0.56905,0.399802
5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7,35,1351,0.57957,0.504811
5,1.d4 d5 2.c4 e6 3.Nf3 c5 4.cxd5 exd5,36,1870,0.603743,0.436363
5,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Bb4+,35,1836,0.555827,0.440631
6,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Bb4+ 5.Bd2 Be7,45,1064,0.55827,0.483082
5,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Be7,34,2476,0.593093,0.430936
6,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Be7 5.Bg2 0-0,44,2410,0.593153,0.43029
7,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 Be7 5.Bg2 0-0 6.0-0 dxc4,55,1331,0.578888,0.466566
5,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3 dxc4,35,2321,0.545885,0.394657
5,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 Be7,35,2884,0.604195,0.501733
6,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 Be7 5.Bf4 0-0,45,1113,0.623539,0.43486
5,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 c6,34,1830,0.528415,0.45683
5,1.d4 d5 2.Nf3 Nf6 3.Bf4 c5 4.e3 Nc6,35,1758,0.532423,0.319681
5,1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.cxd5 cxd5,37,1001,0.506493,0.68931
5,1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.e3 Bf5,34,1013,0.517275,0.467917
5,1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.Nc3 dxc4,36,1633,0.544703,0.4109
6,1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.Nc3 dxc4 5.a4 Bf5,45,1153,0.542064,0.419774
5,1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.Nc3 e6,34,1675,0.550447,0.408358
5,1.d4 d5 2.Nf3 Nf6 3.c4 dxc4 4.e3 e6,35,1729,0.56709,0.533834
6,1.d4 d5 2.Nf3 Nf6 3.c4 dxc4 4.e3 e6 5.Bxc4 c5,45,1207,0.573322,0.548467
5,1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Nc3 Be7,35,1579,0.565864,0.512349
5,1.d4 f5 2.g3 Nf6 3.Bg2 g6 4.c4 Bg7,34,1084,0.562269,0.403136
5,1.d4 f5 2.g3 Nf6 3.Bg2 g6 4.Nf3 Bg7,35,2437,0.566885,0.409109
6,1.d4 f5 2.g3 Nf6 3.Bg2 g6 4.Nf3 Bg7 5.0-0 0-0,45,2026,0.566633,0.415597
7,1.d4 f5 2.g3 Nf6 3.Bg2 g6 4.Nf3 Bg7 5.0-0 0-0 6.c4 d6,53,1154,0.551993,0.412478
5,1.d4 f5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7,35,1729,0.55639,0.377096
6,1.d4 f5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.0-0 0-0,45,1424,0.557935,0.377106
5,1.d4 Nf6 2.Bg5 e6 3.e4 h6 4.Bxf6 Qxf6,37,2592,0.51601,0.333719
5,1.d4 Nf6 2.Bg5 Ne4 3.Bf4 c5 4.f3 Qa5+,37,1651,0.552392,0.35857
6,1.d4 Nf6 2.Bg5 Ne4 3.Bf4 c5 4.f3 Qa5+ 5.c3 Nf6,46,1631,0.551808,0.358062
5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6,34,11269,0.549693,0.328778
6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6,46,1647,0.575591,0.355798
6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6,44,4063,0.543563,0.358602
7,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bg7,54,1082,0.527264,0.292975
7,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6,55,2721,0.554943,0.386622
8,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.e4 Bxf1,65,1078,0.565862,0.385899
9,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.e4 Bxf1 8.Kxf1 d6,75,1075,0.565581,0.385116
5,1.d4 Nf6 2.c4 c5 3.d5 d6 4.Nc3 g6,33,1312,0.596036,0.33689
6,1.d4 Nf6 2.c4 c5 3.d5 d6 4.Nc3 g6 5.e4 Bg7,42,1093,0.599268,0.333028
5,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6,33,2675,0.589532,0.312523
6,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 Be7,42,1655,0.598791,0.308157
5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5,35,7815,0.569353,0.279334
6,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6,45,7193,0.572501,0.279438
7,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6,53,3886,0.566906,0.276376
8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7,62,1289,0.576415,0.240496
7,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6,54,2816,0.582563,0.285156
5,1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7,34,2218,0.528854,0.330928
6,1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7 5.e4 d6,42,1371,0.540846,0.330415
5,1.d4 Nf6 2.c4 d6 3.Nc3 Nbd7 4.e4 e5,35,1642,0.531059,0.369062
5,1.d4 Nf6 2.c4 e6 3.g3 Bb4+ 4.Bd2 Qe7,36,1141,0.556529,0.40666
5,1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5,34,2833,0.507412,0.320155
6,1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5 5.cxd5 d6,44,2168,0.511531,0.336715
7,1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5 5.cxd5 d6 6.Nc3 g6,53,1825,0.511232,0.345205
8,1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5 5.cxd5 d6 6.Nc3 g6 7.Bg2 Bg7,63,1437,0.517049,0.342379
9,1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5 5.cxd5 d6 6.Nc3 g6 7.Bg2 Bg7 8.Nf3 0-0,73,1415,0.519434,0.344876
5,1.d4 Nf6 2.c4 e6 3.g3 c5 4.Nf3 cxd4,35,1322,0.512102,0.409984
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Bb4+,35,1772,0.533577,0.4272
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7,34,2326,0.559974,0.488822
6,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 0-0,44,2251,0.561972,0.491337
7,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 0-0 6.0-0 dxc4,55,1316,0.555471,0.516717
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4,35,1982,0.533047,0.437436
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Bb4+,35,1487,0.503698,0.438466
6,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Bb4+ 5.Bd2 Be7,45,1041,0.508645,0.467819
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Be7,34,1680,0.552678,0.451785
6,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Be7 5.Bg2 0-0,44,1637,0.551924,0.4551
7,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Be7 5.Bg2 0-0 6.0-0 dxc4,55,1079,0.542168,0.496756
5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 dxc4,35,1629,0.520564,0.412523
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3+,37,1643,0.512781,0.284236
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0,35,16837,0.523074,0.404703
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 c5,44,2453,0.529147,0.433754
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5,44,6835,0.524871,0.42297
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5 6.a3 Bxc3+,55,1331,0.554094,0.359879
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5 6.cxd5 exd5,56,1071,0.524743,0.356676
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5 6.Nf3 c5,53,2186,0.535681,0.476669
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Nge2 d5,45,2504,0.496405,0.435303
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Nge2 d5 6.a3 Be7,54,1718,0.494179,0.426076
8,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Nge2 d5 6.a3 Be7 7.cxd5 exd5,66,1036,0.503378,0.396718
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6,34,4091,0.530432,0.364214
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6 5.Bd3 Bb7,44,1110,0.507207,0.378378
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5,34,5505,0.533424,0.41544
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Bd3 Nc6,44,1619,0.51575,0.420012
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 5.Nge2 cxd4,46,1262,0.553882,0.419968
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 c5,34,1706,0.533118,0.283118
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 d5,34,2461,0.550386,0.352295
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 d5 5.a3 Bxc3+,45,1768,0.559389,0.369909
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 d5 5.a3 Bxc3+ 6.bxc3 c5,55,1242,0.541867,0.42512
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6,35,1973,0.529143,0.3852
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 c5,35,1728,0.557002,0.50405
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0,36,11100,0.533153,0.459279
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.a3 Bxc3+,47,7143,0.529889,0.48159
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.a3 Bxc3+ 6.Qxc3 b6,57,4023,0.537161,0.486204
8,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.a3 Bxc3+ 6.Qxc3 b6 7.Bg5 Bb7,67,2385,0.544444,0.502725
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.a3 Bxc3+ 6.Qxc3 d5,57,1015,0.536945,0.565517
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.e4 d5,44,1100,0.559545,0.440909
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.e4 d5 6.e5 Ne4,53,1054,0.560721,0.451612
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5,35,4435,0.544419,0.426381
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5 5.dxc5 0-0,46,1962,0.527777,0.465341
7,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5 5.dxc5 0-0 6.a3 Bxc5,56,1293,0.546403,0.461716
5,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5,35,4384,0.537522,0.482892
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.a3 Bxc3+,46,1454,0.544704,0.482806
6,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.cxd5 exd5,47,1722,0.53281,0.45238
5,1.d4 Nf6 2.c4 e6 3.Nc3 c5 4.d5 exd5,35,1984,0.59501,0.298891
6,1.d4 Nf6 2.c4 e6 3.Nc3 c5 4.d5 exd5 5.cxd5 d6,45,1762,0.596481,0.305334
7,1.d4 Nf6 2.c4 e6 3.Nc3 c5 4.d5 exd5 5.cxd5 d6 6.e4 g6,53,1160,0.595258,0.292241
5,1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Bg5 Be7,35,1427,0.566573,0.512263
